capacitity,red,green,blue,label
415.2,0.3203,0.329,0.3508,WATER
415.2,0.3203,0.329,0.3508,WATER
415.4,0.3217,0.3283,0.35,WATER
416.4,0.3217,0.3283,0.35,WATER
415.4,0.3232,0.3275,0.3492,WATER
416.0,0.3232,0.3275,0.3492,WATER
415.0,0.3246,0.3268,0.3486,WATER
414.6,0.3246,0.3268,0.3486,WATER
414.2,0.3246,0.3268,0.3486,WATER
415.6,0.3246,0.3268,0.3486,WATER
415.4,0.3246,0.3268,0.3486,WATER
416.0,0.3246,0.3268,0.3486,WATER
416.0,0.3246,0.3268,0.3487,WATER
415.6,0.3246,0.3268,0.3487,WATER
415.6,0.3245,0.3267,0.3488,WATER
415.6,0.3245,0.3267,0.3488,WATER
415.4,0.3245,0.3267,0.3488,WATER
415.8,0.3245,0.3267,0.3488,WATER
415.8,0.3229,0.3274,0.3497,WATER
415.6,0.3229,0.3274,0.3497,WATER
415.6,0.3244,0.3266,0.349,WATER
416.4,0.3244,0.3266,0.349,WATER
415.8,0.3228,0.3274,0.3498,WATER
415.6,0.3228,0.3274,0.3498,WATER
415.4,0.3228,0.3274,0.3498,WATER
416.4,0.3228,0.3274,0.3498,WATER
414.0,0.3221,0.3288,0.3491,WATER
414.4,0.3221,0.3288,0.3491,WATER
414.8,0.3236,0.3281,0.3483,WATER
414.6,0.3236,0.3281,0.3483,WATER
413.6,0.3221,0.3288,0.3491,WATER
415.6,0.3221,0.3288,0.3491,WATER
415.0,0.3229,0.3296,0.3476,WATER
415.8,0.3229,0.3296,0.3476,WATER
416.4,0.3229,0.3296,0.3476,WATER
416.8,0.3229,0.3296,0.3476,WATER
416.8,0.3229,0.3296,0.3476,WATER
417.8,0.3229,0.3296,0.3476,WATER
418.4,0.3214,0.3303,0.3482,WATER
418.6,0.3214,0.3303,0.3482,WATER
418.0,0.3215,0.3304,0.3481,WATER
416.6,0.3215,0.3304,0.3481,WATER
416.0,0.3223,0.3289,0.3489,WATER
414.6,0.3223,0.3289,0.3489,WATER
413.6,0.3208,0.3296,0.3495,WATER
413.0,0.3208,0.3296,0.3495,WATER
414.0,0.3201,0.3289,0.351,WATER
414.4,0.3201,0.3289,0.351,WATER
414.4,0.3202,0.3289,0.3509,WATER
415.0,0.3202,0.3289,0.3509,WATER
415.8,0.3202,0.3289,0.3509,WATER
416.2,0.3202,0.3289,0.3509,WATER
415.8,0.3203,0.329,0.3508,WATER
414.6,0.3203,0.329,0.3508,WATER
415.6,0.3203,0.329,0.3508,WATER
