capacitity,red,green,blue
404.60,0.5762,0.1907,0.2331
405.00,0.5762,0.1907,0.2331
404.20,0.5762,0.1907,0.2331
404.00,0.5762,0.1907,0.2331
405.00,0.5780,0.1899,0.2321
404.80,0.5780,0.1899,0.2321
405.40,0.5780,0.1899,0.2321
406.20,0.5780,0.1899,0.2321
405.20,0.5762,0.1907,0.2331
404.80,0.5762,0.1907,0.2331
404.60,0.5762,0.1907,0.2331
402.80,0.5762,0.1907,0.2331
402.60,0.5762,0.1907,0.2331
404.00,0.5762,0.1907,0.2331
403.40,0.5745,0.1915,0.2340
403.80,0.5745,0.1915,0.2340
405.20,0.5745,0.1915,0.2340
404.40,0.5745,0.1915,0.2340
403.60,0.5745,0.1915,0.2340
404.00,0.5745,0.1915,0.2340
392.20,0.5745,0.1915,0.2340
392.40,0.5745,0.1915,0.2340
394.20,0.5745,0.1915,0.2340
394.40,0.5745,0.1915,0.2340
394.60,0.5762,0.1907,0.2331
405.60,0.5762,0.1907,0.2331
405.40,0.5756,0.1932,0.2312
403.80,0.5756,0.1932,0.2312
403.40,0.5745,0.1941,0.2314
403.20,0.5745,0.1941,0.2314
403.00,0.5716,0.1958,0.2326
402.80,0.5716,0.1958,0.2326
403.00,0.5710,0.1983,0.2307
398.40,0.5710,0.1983,0.2307
398.80,0.5686,0.2017,0.2298
399.80,0.5686,0.2017,0.2298
400.20,0.5686,0.2017,0.2298
399.80,0.5686,0.2017,0.2298
403.80,0.5691,0.2033,0.2276
403.60,0.5691,0.2033,0.2276
403.80,0.5709,0.2025,0.2267
402.80,0.5709,0.2025,0.2267
403.00,0.5709,0.2025,0.2267
403.20,0.5709,0.2025,0.2267
403.00,0.5709,0.2025,0.2267
402.60,0.5709,0.2025,0.2267
403.40,0.5703,0.2009,0.2288
403.60,0.5703,0.2009,0.2288
403.80,0.5703,0.2009,0.2288
403.80,0.5703,0.2009,0.2288
404.00,0.5709,0.2025,0.2267
403.60,0.5709,0.2025,0.2267
403.60,0.5709,0.2025,0.2267
403.80,0.5709,0.2025,0.2267
403.80,0.5686,0.2017,0.2298
403.60,0.5686,0.2017,0.2298
404.00,0.5669,0.2024,0.2307
404.00,0.5669,0.2024,0.2307
404.00,0.5663,0.2008,0.2329
404.20,0.5663,0.2008,0.2329
404.00,0.5663,0.2008,0.2329
404.40,0.5663,0.2008,0.2329
409.60,0.5669,0.1983,0.2348
410.60,0.5669,0.1983,0.2348
410.60,0.5692,0.1964,0.2344
411.00,0.5692,0.1964,0.2344
410.00,0.5677,0.1985,0.2338
405.20,0.5677,0.1985,0.2338
403.40,0.5658,0.2005,0.2338
403.00,0.5658,0.2005,0.2338
403.00,0.5640,0.1972,0.2389
402.20,0.5640,0.1972,0.2389
401.60,0.5624,0.1989,0.2387
402.80,0.5624,0.1989,0.2387
402.60,0.5585,0.2022,0.2394
402.60,0.5585,0.2022,0.2394
403.60,0.5633,0.1985,0.2382
402.40,0.5633,0.1985,0.2382
402.80,0.5669,0.1958,0.2373
402.40,0.5669,0.1958,0.2373
403.20,0.5664,0.1983,0.2353
403.20,0.5664,0.1983,0.2353
404.40,0.5642,0.1953,0.2404
404.00,0.5642,0.1953,0.2404
405.00,0.5642,0.1953,0.2404
